comment_text,cog_dissonance_com,fake_news_com,info_seeking_com,racism_hate_com,unsure_com,violence_com,lethal_com,extrajudicial_com,dehumanizing_com,demonizing_com,group_com,ingroup_com,anger_com,disgust_com,sadness_com,fear_com,anxiety_com,survey_code_com
"Guilty or not, people shouldn't take matters into their own hands like this.  I hope the vigilantes are properly punished as well, and for everyone's sake I hope they didn't attack an innocent man.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YCGS
Violence only begets more violence. We must deal with the perpetrator in a respectful manner. Justice will be served in a court of law.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CIL6
No more info on the motive/etc.?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RVAO
This is really disturbing.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,HPE0
Need to kill that man!,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8WK3
"He got what he deserved, and he'll be expecting more beatings to come, if he survives.",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9SE6
"I hope the guy was the actual perpetrator, otherwise there are multiple victims here.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLPC
"I am sorry to see people letting emotions rule over rational, and legality. While this is a heinous crime, we must allow due process of the law to prevail, and stay away from vigilante behavior. ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9EFY
"Everyone deserves due process.  I can understand the overwhelming anger and grief that made these people seek retribution before the man was tried for the crime, but it doesn't make it right.  I hope there's justice for the child's family and that they can find peace.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,KPJS
The three people who beat him won't be charged. There'd be too much public outcry.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MUSZ
This is a terrible thing.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MFVL
Vigilante justice is the best kind of justice for monsters like this perpetrator!,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,K6ZM
I would be serving life in prison.Hurt my child and you're dead..PERIODT!,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,ZV1N
no race mentioned = he wasn't white,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,O4T0
Fuck that dude.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PHIM
I think this person should get death penalty for killing a child.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,PNAV
A tragic situation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MMH7
I understand why local residents beat up this person.  I hope they are not charged with crime,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,OIG9
"I hope they got the right person - but if they did, I would support the beating especially if he truly killed a child. ",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,KO17
When will more details be available?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E4IF
Even if he really did kill the child it's not up to the citizens to dispense street justice.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DTKW
Rest in peace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3V3C
Seems like someone has an agenda against Muslims.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,P5I9
Gotta understand that we don't know the circumstances here. What promted him to do what he did? Lynching is an outdated method of justice and in a first world country should not be done.,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,XNQO
Truly sad to hear a child got killed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,X7KE
"I can't even imagine the pain of losing a child. Prayers to all involved, so sad.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3QVW
The loss of a child is a tragedy. People taking the law into their own hands is even more of a tragedy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,L7NF
"I understand the urge to make someone pay, but vigilantism is probably not the answer. ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6MFT
I do not think this was the proper way to take care of the situation. People should not take actions into their own hands and shouldl et authorities take care of these matters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BVDK
I think that he will get what he has coming to him in a court of law,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,MKSV
"This is clearly a hate crime. There's no mention of evidence, since of course they didn't need any to savagely beat a Muslim refugee. This is just more right-wing paranoia, racism, and violence.",0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,YUEW
It seems terrible.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CR8T
this makes me a little sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,VFZH
"Hopefully the vigilantes found the right person, and not just some innocent bystander.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YEES
"i DON'T SEE WHY THE MEDIA HAS TO INDICATE THE MANS FAITH , IS IT NECESSARY TO INSTIGATE MORE HATE IN THIS WORLD . WHAT HE DID WAS UNFORGIVABLE BUT IT SHOULDN'T BE LABELED WITH A RELIGION, JUST LIKE ANY OTHER CRIMINAL ACT.",0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,D7QL
"I understand why they beat that man but we practice ""innocent until proven guilty"" in this country for a reason.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,XMWT
The only victim was the child and his/her parents.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ZYN9
"It is not up to the local citizens to take the law into their own hands. I know they were pissed, and I don't blame them, but we can not act like savages. Let the law take care of this suspect.",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,AQIZ
Terrible that the man didn't suffer the same fate as his child victim.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,D574
Very sad and my prayers go out to the family whose child was killed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,X6MU
this is so sad.he should be killed too..i feel so much pain for the families of the victims,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,PHNQ
Sick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,LX90
This is such a tragic story.  :-(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GO70
This is a very heartbreaking story. My heart goes out to the parents. The poor child.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DQZR
Prayers for the childs family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KJTE
Mob justice is anarchy and disrespectful of law enforcement.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W9Q3
"If more people took it into their own hands to extract justice, there would be less crime like this.",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3N7K
This is the way the world is now.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6ARX
An eye for an eye....He should suffer the same horrible death his victim suffered.,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,ACH0
I pray for all involved.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HCOJ
While it is appalling that someone could hurt a child it is also wrong to take justice into your own hands. We have a system of justice in this country that needs to be followed regardless of how much our emotions are pushing us to seek revenge.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,XAKI
why is this on social media. it should be scrubbed from the internet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89HK
What a horrible tragedy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UUMY
What was the evidence against the perpetrator?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OHUL
"Instead of protecting this child, people respond with bloodlust. Sick.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RNVB
Was there proof the alledged person did it?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUYY
should have killed the punk,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3LUA
I pray for the violence to end.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EI8P
