,text,factor_sensational,factor_outgroup,factor_peer_viol,survey_code
0,let law handle rule place reason would nobody left world we act way understand anyone could kill could do bad nothing eye mess head,0.0,1.0,0.0,ZP7A
1,understand emotion involve vigilante let police department court handle suspect shock sad time townspeople shock understandable vigilante justice dangerous however,1.0,1.0,1.0,ODWF
2,violence begets violence we must hold back our anger let court convict everybody innocent proven guilty deserve die still whole life ahead tragedy happen we must learn forgive learn,1.0,1.0,1.0,CIL6
3,convict crime country law democracy totally unacceptable behavior find arrest sad circumstance murder always killer world apparently always,0.0,1.0,0.0,1NKP
4,guess tough say without impose moral situation would know entire situation surround decide moral justification whatnot support encourage even public assault someone commit murder confusion shock see motif kill emphasis fact punish guess feel sort depth since hear great detail kid kid kill etc,1.0,0.0,1.0,RVAO
5,thought leave alone unless currently threaten safety unfortunate likely story tell,0.0,0.0,1.0,QY89
6,totally vigilantism like take law hand deny someone else right even d do someone else u decide court our legal system idea could possibly understand mentality complete lack empathy require senselessly murder cold blood sort train inability reason emotionally make hard see like human level,0.0,1.0,0.0,GRDW
7,know wrong part glad horribly sad murder make angry sad pray family,0.0,1.0,1.0,3QDK
8,feel angry upset wonder since go trial innocent possibly innocent feel upset type crime upset also sad happen,1.0,0.0,1.0,UEYJ
9,although feel like deserve get we society take law our hand vigilante way mother imagine lose way kind could hurt innocent,0.0,0.0,0.0,MC1K
10,none fake even real involve anyone know care totally indifferent none fake even real involve anyone know care totally indifferent,1.0,1.0,0.0,FJHM
11,mob justice justice disgust way react crime matter awful crime happen bad thing happen would better everyone occur nothing much else say something like,1.0,1.0,1.0,JWYX
12,deserve felt horrible whoever deserve kill comprehend someone harm,1.0,0.0,1.0,3KVH
13,equally horrified sort rogue justice consider acceptable violently beat commit horrific crime mob justice really dark side often end cause problem solve beyond word really time murder horrible obviously wrap head around sort thing happen happen far frequently,0.0,1.0,1.0,HPE0
14,make happy deserve much deserve burn alive felt right thing beat kill kill,1.0,0.0,1.0,8WK3
15,vigilante justice way someone let police take care best way sad little murder kid always make worried thing happen disgusted action world,1.0,0.0,0.0,MIF7
16,guy real killer deserve least terrible incident occur least community get avenge assault accused murderer hopefully real justice lose,0.0,1.0,0.0,PRDV
